comparison,method,parameter_key,parameter_value,k,left_representation,right_representation,n_samples,ari,nmi,vi,availability
fixed_classix_parameter,classix,candidate_id,classix_r1.70_m1_distance,,compact,rich,11719,0.545162454898493,0.5217795401241566,0.004350109055722409,
fixed_classix_parameter,classix,candidate_id,classix_r1.70_m5_density,,compact,rich,11719,-0.0008137980923336759,0.00010316404485819934,0.014834500616690649,
fixed_classix_parameter,classix,candidate_id,classix_r1.70_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.75_m10_density,,compact,rich,11719,-0.0005384428968393766,6.7942774662396e-05,0.012870031811138952,
fixed_classix_parameter,classix,candidate_id,classix_r1.75_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.75_m1_density,,compact,rich,11719,-0.0005389201011777669,5.4869296944339356e-05,0.01593672878096649,
fixed_classix_parameter,classix,candidate_id,classix_r1.75_m1_distance,,compact,rich,11719,-0.0003200063108842941,3.330850197579536e-05,0.006560226696314027,
fixed_classix_parameter,classix,candidate_id,classix_r1.75_m5_density,,compact,rich,11719,-0.0005384428968393766,6.7942774662396e-05,0.012870031811138952,
fixed_classix_parameter,classix,candidate_id,classix_r1.75_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
independent_deployment_selection,kmeans,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",,compact,rich,11719,0.01397446272936289,0.08938623390274329,1.6908046658510987,independent_deployment_selection
