representation,split_seed,k,k_prime,engine,train_fidelity,test_fidelity,stability,stability_definition,k_selection_scope,k_candidate_count,selected_train_silhouette,selected_train_dbi,selected_train_ch,transformed_columns,leaves,leaf_count,effective_rules,effective_rule_count,max_depth,depth,mean_conditions_per_rule,conditions_per_rule_mean,max_conditions_per_rule,test_rows_used_for_selection,scaler_fit_rows,reference_fit_rows
compact,20260805,4,8,exkmc_0.0.3,0.99072,0.9867747440273038,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",8,8,8,8,5,5,3.625,3.625,5,0,9375,9375
compact,20260805,4,9,exkmc_0.0.3,0.99104,0.9880546075085325,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",9,9,9,9,5,5,3.888888888888889,3.888888888888889,5,0,9375,9375
compact,20260805,4,10,exkmc_0.0.3,0.9912533333333333,0.9880546075085325,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",10,10,10,10,6,6,4.2,4.2,6,0,9375,9375
compact,20260805,4,11,exkmc_0.0.3,0.9912533333333333,0.9880546075085325,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",11,11,11,11,6,6,4.363636363636363,4.363636363636363,6,0,9375,9375
compact,20260805,4,12,exkmc_0.0.3,0.9917866666666667,0.988481228668942,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",12,12,12,12,6,6,4.583333333333333,4.583333333333333,6,0,9375,9375
compact,20260805,4,13,exkmc_0.0.3,0.9917866666666667,0.988481228668942,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",13,13,13,13,6,6,4.615384615384615,4.615384615384615,6,0,9375,9375
compact,20260805,4,14,exkmc_0.0.3,0.9947733333333333,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",14,14,14,14,6,6,4.714285714285714,4.714285714285714,6,0,9375,9375
compact,20260805,4,15,exkmc_0.0.3,0.9947733333333333,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",15,15,15,15,6,6,4.6,4.6,6,0,9375,9375
compact,20260805,4,16,exkmc_0.0.3,0.9947733333333333,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",16,16,16,16,6,6,4.5625,4.5625,6,0,9375,9375
rich,20260801,4,4,exkmc_0.0.3,0.96544,0.9598976109215017,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.3518918964354268,1.0381112334884843,3175.2623086932736,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories""]",4,4,4,4,3,3,2.25,2.25,3,0,9375,9375
